"wishlist","สินค้าที่สนใจ"
"Add to Cart","สั่งซื้อ"
"If you make your payment. Please ","หากท่านทำการชำระเงินเรียบร้อยแล้วกรุณา "
"click here","คลิ๊กที่นี่"
"In order to confirm the payment.","เพื่อไปยังหน้ายืนยันการชำระเงิน"
"Payment Confirmation","แจ้งการชำระเงิน (โอนเงิน)"
"Items in your order","รายการสินค้า"
"Idea Bedroom","ไอเดียแต่ง<br>ห้องนอน" 
"Idea Living Room","ไอเดียแต่ง<br>ห้องนั่งเล่น"
"Idea Kitchen","ไอเดียแต่ง<br>ห้องครัว"
"Idea Dining Room","ไอเดียแต่ง<br>ห้องรับประทานอาหาร"
"Idea Office","ไอเดียแต่ง<br>ห้องทำงาน"
"Idea Bath Room","ไอเดียแต่ง<br>ห้องน้ำ"
"Idea Limited Space","ไอเดียแต่ง<br>ห้องในพื้นที่จำกัด"
"Idea Other","ไอเดียแต่ง<br>อื่นๆ" 
"All","ทั้งหมด"
"view all products","ดูสินค้าทั้งหมด"
"Read More >","อ่านเพิ่มเติม >"
